variant,seed,episodes,tail,tail_reward_mean,tail_final_hold_mean,tail_balanced_hold_mean,tail_success_rate,tail_peak_mean,tail_capture_drop_rate,tail_cart_hit_rate,tail_action_abs_mean,last_replay_saturation_fraction,last_replay_capture_fraction,last_replay_near_capture_fraction,last_replay_non_crash_transitions,tail_capture_rows,tail_down_rows
capture_actor_gate_safe,0,40,15,-68.76371760192592,0.08,0.08,0.0,0.9999432459430018,0.7333333333333333,0.0,0.40392210171864246,0.281,1.0,0.5365,8000,15,0
capture_actor_gate_safe,1,40,15,-747.102467230024,0.0,0.0,0.0,0.999723043158434,1.0,1.0,0.46188574181000913,0.363,1.0,0.231625,8000,15,0
capture_actor_gate_safe,2,40,15,-742.8073784721013,0.0,0.0,0.0,0.9997398347809762,1.0,1.0,0.46103564956177395,0.51225,1.0,0.28575,8000,15,0
capture_actor_gate_safe,3,40,15,-746.4144575538361,0.0,0.0,0.0,0.9998648720361513,1.0,1.0,0.46054437776598706,0.4995,1.0,0.268875,8000,15,0
capture_actor_gate_safe,4,40,15,-743.9266017627682,0.0,0.0,0.0,0.9998215189545383,1.0,1.0,0.45976824200148714,0.497625,1.0,0.2835,8000,15,0
capture_actor_gate_safe,5,40,15,10.956670698261368,0.36333333333333334,0.36333333333333334,0.3333333333333333,0.9997473878076851,0.4,0.0,0.4022972525380152,0.282375,1.0,0.7025,8000,15,0
capture_actor_gate_safe,6,40,15,-740.2498447637915,0.0,0.0,0.0,0.9996466101036696,1.0,1.0,0.4582538493225605,0.49275,1.0,0.27875,8000,15,0
capture_actor_gate_safe,7,40,15,-102.56616547090036,0.0,0.0,0.0,0.9997519442539015,1.0,0.13333333333333333,0.24422372724780686,0.185,1.0,0.427375,8000,15,0
capture_actor_gate_safe,8,40,15,-744.2939592821762,0.0,0.0,0.0,0.999905044901013,1.0,1.0,0.4612545233081608,0.473125,1.0,0.273875,8000,15,0
capture_actor_gate_safe,9,40,15,-746.6114909811329,0.0,0.0,0.0,0.999899407117493,1.0,1.0,0.46085986130003387,0.455875,1.0,0.256375,8000,15,0
capture_only,0,40,15,-16.736027028686163,0.3233333333333333,0.3233333333333333,0.2,0.9998997968087783,0.5333333333333333,0.0,0.3845566705902955,0.305875,1.0,0.60375,8000,15,0
capture_only,1,40,15,-2.7085786537761596,0.375,0.375,0.3333333333333333,0.9999659952364675,0.4666666666666667,0.0,0.23575511474863628,0.19525,1.0,0.693625,8000,15,0
capture_only,2,40,15,-30.138851004805893,0.14166666666666666,0.14166666666666666,0.13333333333333333,0.9997119341992737,0.6,0.0,0.3306231409815464,0.192375,1.0,0.510375,8000,15,0
capture_only,3,40,15,-746.414457490229,0.0,0.0,0.0,0.9998648720370423,1.0,1.0,0.46054437769644824,0.56925,1.0,0.19475,8000,15,0
capture_only,4,40,15,-743.926604666593,0.0,0.0,0.0,0.9998215189584455,1.0,1.0,0.45976827756559197,0.53325,1.0,0.21925,8000,15,0
capture_only,5,40,15,-55.04196639910538,0.01,0.01,0.0,0.9996748325253918,0.6666666666666666,0.0,0.31963900740895695,0.22025,1.0,0.51775,8000,15,0
capture_only,6,40,15,9.822435836549907,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.9998151605861374,0.3333333333333333,0.0,0.35414044176321047,0.367,1.0,0.493625,8000,15,0
capture_only,7,40,15,-52.24977183746914,0.22333333333333333,0.22333333333333333,0.2,0.9997601258920604,0.6,0.2,0.3562728019048251,0.353375,1.0,0.526875,8000,15,0
capture_only,8,40,15,90.79051327710795,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.9999463814908818,0.0,0.0,0.15484120938023824,0.063125,1.0,0.92075,8000,15,0
capture_only,9,40,15,-746.611491323276,0.0,0.0,0.0,0.9998994071160274,1.0,1.0,0.46085986167752996,0.564375,1.0,0.194875,8000,15,0
capture_prefill_safe,0,40,15,-742.9696755088829,0.0,0.0,0.0,0.9998044402028158,1.0,1.0,0.459633587064684,0.5215555555555556,1.0,0.25055555555555553,9000,15,0
