policy,seed,steps_logged,episode_length,capture_drop_step,terminated_early,termination_reason,target_score_min,target_score_final,target_score_peak,end_y_min,end_y_final,action_abs_mean,episode_reward
zero_action,0,30,30,,1.0,max_steps,0.9988823993292852,0.9996354077460942,0.9996354077460942,0.6662411948917544,0.6665119530349394,0.0,105.96647604533838
constant_+0.02,0,30,30,,1.0,max_steps,0.9951956057809463,0.9951956057809463,0.9989534391225688,0.6644015504626823,0.6644015504626823,0.020000000000000004,105.7236106574737
constant_-0.02,0,30,30,,1.0,max_steps,0.9988823993292852,0.9990218494679544,0.999999139363341,0.6653945758514547,0.6653945758514547,0.020000000000000004,105.3986018368698
constant_+0.05,0,30,30,,1.0,max_steps,0.9787944846860758,0.9787944846860758,0.9989115475534013,0.6554528027964941,0.6554528027964941,0.05000000000000002,104.43482699343684
constant_-0.05,0,30,30,,1.0,max_steps,0.9882859887907217,0.9882859887907217,0.9999977734115747,0.6579216668894833,0.6579216668894833,0.05000000000000002,104.00728749332502
actor_deterministic,0,30,30,,1.0,max_steps,0.9919739966154849,0.9919739966154849,0.9989357168655063,0.6626611714533059,0.6626611714533059,0.02791437301784754,105.4291355609893
actor_plus_noise_0.10,0,30,30,,1.0,max_steps,0.9486386879104353,0.9486386879104353,0.9988823993292852,0.6398456108188662,0.6398456108188662,0.1073390694244058,103.04536080316122
