variant,seed,episode,episode_reward,episode_length,transition_direction,final_hold,balanced_hold,episode_success,peak_target_score,termination_reason,capture_drop_penalty,cart_limit_step_penalty,safety_penalty,action_abs_mean,replay_size,replay_saturation_fraction,replay_capture_fraction,replay_near_capture_fraction,replay_non_crash_transitions
capture_only,0,25,-87.75313030450049,200,capture_vertical,0.0,0.0,0.0,0.9999945681540692,max_steps,-0.5,0.0,-0.00030234415763052394,0.3795518862331321,5200,0.26346153846153847,1.0,0.46365384615384614,5200
capture_only,0,26,-88.58813467080697,200,capture_vertical,0.0,0.0,0.0,0.9999980859662541,max_steps,-0.5,0.0,-0.000126240846199105,0.3852646200835993,5400,0.27,1.0,0.47314814814814815,5400
capture_only,0,27,-87.08520956035773,200,capture_vertical,0.0,0.0,0.0,0.999844560056235,max_steps,-0.5,0.0,-8.088642343264902e-05,0.4119181840978483,5600,0.2769642857142857,1.0,0.48464285714285715,5600
capture_only,0,28,-89.34094115515666,200,capture_vertical,0.0,0.0,0.0,0.9996138358509797,max_steps,-0.5,0.0,-3.407536135757971e-05,0.39485944394615047,5800,0.28051724137931033,1.0,0.4906896551724138,5800
capture_only,0,29,-88.82135957725623,200,capture_vertical,0.0,0.0,0.0,0.9999921444426526,max_steps,-0.5,0.0,-1.4132832799402047e-05,0.4334325003809995,6000,0.28933333333333333,1.0,0.49766666666666665,6000
capture_only,0,30,-88.41068310938253,200,capture_vertical,0.0,0.0,0.0,0.9999888464907519,max_steps,-0.5,0.0,-3.163810946846164e-05,0.4082834878021484,6200,0.29370967741935483,1.0,0.5043548387096775,6200
capture_only,0,31,15.614464548602717,200,capture_vertical,0.0,0.0,0.0,0.999904633401923,max_steps,0.0,0.0,-3.757301158156952e-05,0.42615212250849305,6400,0.30015625,1.0,0.518125,6400
capture_only,0,32,-87.93069894509097,200,capture_vertical,0.0,0.0,0.0,0.9999933836884297,max_steps,-0.5,0.0,-2.2746552799464e-05,0.4294509475094918,6600,0.3065151515151515,1.0,0.525,6600
capture_only,0,33,121.25301770335821,200,capture_vertical,1.0,1.0,1.0,0.9992424883534271,max_steps,0.0,0.0,-1.3936437554817482e-06,0.41620131099112373,6800,0.3104411764705882,1.0,0.5389705882352941,6800
capture_only,0,34,19.29481568843055,200,capture_vertical,0.75,0.75,0.0,0.9999895800171718,max_steps,0.0,0.0,-1.5791155719052072e-05,0.39247077312329837,7000,0.3142857142857143,1.0,0.5521428571428572,7000
capture_only,0,35,19.62222498856675,200,capture_vertical,0.35,0.35,0.0,0.999999986637145,max_steps,0.0,0.0,-3.1209982808353484e-05,0.3899571077875022,7200,0.31666666666666665,1.0,0.5645833333333333,7200
capture_only,0,36,19.912059456146626,200,capture_vertical,0.75,0.75,0.0,0.9999999133625916,max_steps,0.0,0.0,-2.2747893607804864e-06,0.400394918742549,7400,0.31810810810810813,1.0,0.5763513513513514,7400
capture_only,0,37,-83.01086350408177,200,capture_vertical,0.0,0.0,0.0,0.9999743008385579,max_steps,-0.5,0.0,-2.451084807884548e-06,0.3702503356236827,7600,0.31763157894736843,1.0,0.5828947368421052,7600
capture_only,0,38,126.98618538771088,200,capture_vertical,1.0,1.0,1.0,0.999999347704214,max_steps,0.0,0.0,-1.0252037850668057e-06,0.282897214880167,7800,0.31243589743589745,1.0,0.5935897435897436,7800
capture_only,0,39,127.21784762352526,200,capture_vertical,1.0,1.0,1.0,0.9999612771672711,max_steps,0.0,0.0,-1.7958045148098452e-05,0.247265205144247,8000,0.305875,1.0,0.60375,8000
capture_only,1,0,-101.50325723968909,200,capture_vertical,0.0,0.0,0.0,0.9993984180715584,max_steps,-0.5,0.0,-0.0521314635855194,0.09363443584285244,200,0.0,1.0,0.365,200
capture_only,1,1,-100.46557296070047,200,capture_vertical,0.0,0.0,0.0,0.9998597623166398,max_steps,-0.5,0.0,-0.032225136929420944,0.0942731404602001,400,0.0,1.0,0.3325,400
capture_only,1,2,-270.53975695899015,200,capture_vertical,0.0,0.0,0.0,0.9999971672780198,max_steps,-0.5,-0.45,-0.9182692070556736,0.23508562692686044,600,0.04666666666666667,1.0,0.405,600
capture_only,1,3,-749.8458862542523,200,capture_vertical,0.0,0.0,0.0,0.9993771199831495,max_steps,-0.5,-1.75,-3.2510011740185223,0.4626503716381512,800,0.18625,1.0,0.34625,800
capture_only,1,4,-718.6771568374918,200,capture_vertical,0.0,0.0,0.0,0.9999997312642416,max_steps,-0.5,-1.6,-3.0949175873365222,0.46065559842981807,1000,0.265,1.0,0.315,1000
capture_only,1,5,-749.2426817428109,200,capture_vertical,0.0,0.0,0.0,0.9999972215922883,max_steps,-0.5,-1.75,-3.2479540497550454,0.3130913103371173,1200,0.2625,1.0,0.2866666666666667,1200
capture_only,1,6,-90.5292569763771,200,capture_vertical,0.0,0.0,0.0,0.9999798122638263,max_steps,-0.5,0.0,-0.053852198871147096,0.17741279382374459,1400,0.24428571428571427,1.0,0.3557142857142857,1400
