policy,seed,steps_logged,episode_length,capture_drop_step,terminated_early,termination_reason,target_score_min,target_score_final,target_score_peak,end_y_min,end_y_final,action_abs_mean,episode_reward
zero_action,0,50,50,,1.0,max_steps,0.9988823993292852,0.999872338752134,0.999872338752134,0.6662411948917544,0.6665593985175249,0.0,109.95364416525287
constant_+0.02,0,50,50,,1.0,max_steps,0.9864495632777236,0.9864495632777236,0.9989534391225688,0.6595408706067345,0.6595408706067345,0.02,109.28716414686384
constant_-0.02,0,50,50,,1.0,max_steps,0.991031556392652,0.991031556392652,0.999999139363341,0.6596994430839276,0.6596994430839276,0.02,108.72056697870279
constant_+0.05,0,50,50,,1.0,max_steps,0.9202779038905109,0.9202779038905109,0.9989115475534013,0.6260147889795329,0.6260147889795329,0.04999999999999999,106.46508934413754
constant_-0.05,0,50,50,,1.0,max_steps,0.9303984862076742,0.9303984862076742,0.9999977734115747,0.6270266554371896,0.6270266554371896,0.04999999999999999,105.82506213972991
actor_deterministic,0,50,50,,1.0,max_steps,0.9868915754709063,0.9868915754709063,0.9999994063086612,0.657043345050478,0.657043345050478,0.023805635534226894,108.36925928820155
actor_plus_noise_0.10,0,50,50,,1.0,max_steps,0.9912038826265948,0.9989477471471264,0.9989477471471264,0.6622836732476943,0.6662102962438973,0.09119579083743053,108.13751232014482
