policy,seed,step,action,applied_force,target_score,end_y,q1,q2,q1_dot,q2_dot,reward,capture_drop,termination_reason
zero_action,0,0,0.0,0.0,0.9988823993292852,0.6662411948917544,1.6106804494796603,1.6018185034759445,-0.133822694505583,0.0040183443702084334,17.827247030535066,False,
zero_action,0,1,0.0,0.0,0.9989229604670304,0.6662582675396775,1.6093422225346043,1.6018586869196465,-0.12565609951183415,0.001578822132020128,10.510745244176896,False,
zero_action,0,2,0.0,0.0,0.9989610293054959,0.6662739821769477,1.608085661539486,1.6018744751409668,-0.11934863914979357,-0.0006044509529628968,7.515278261279265,False,
zero_action,0,3,0.0,0.0,0.9989971800446358,0.6662886388715659,1.606892175147988,1.6018684306314372,-0.11434882585065437,-0.002568900558563694,5.873909457255294,False,
zero_action,0,4,0.0,0.0,0.9990317986678228,0.6663024424061772,1.6057486868894815,1.6018427416258516,-0.11027695387770703,-0.004342615352625784,4.835717741988672,False,
zero_action,0,5,0.0,0.0,0.9990651454269355,0.6663155343831998,1.6046459173507044,1.6017993154723253,-0.10687129071065743,-0.005947108578164991,4.119276963216296,False,
zero_action,0,6,0.0,0.0,0.9990973965224902,0.6663280142337313,1.6035772044435979,1.6017398443865436,-0.10395110955659635,-0.007399240059379851,3.5948920957268875,False,
zero_action,0,7,0.0,0.0,0.9991286719874138,0.6663399530535977,1.602537693348032,1.60166585198595,-0.10139130686370636,-0.008712551681993624,3.1943870791194255,False,
zero_action,0,8,0.0,0.0,0.9991590543733696,0.6663514027631544,1.601523780279395,1.60157872646913,-0.09910498141409796,-0.009898195059949183,2.8784664280331675,False,
zero_action,0,9,0.0,0.0,0.9991886012831154,0.666362402198696,1.600532730465254,1.6014797445185305,-0.09703148108146938,-0.010965576497596405,2.622876501533206,False,
zero_action,0,10,0.0,0.0,0.9992173537753026,0.6663729811804704,1.5995624156544392,1.6013700887535545,-0.09512820264469662,-0.011922806341943837,2.411832689859452,False,
zero_action,0,11,0.0,0.0,0.999245341996688,0.6663831632411459,1.5986111336279922,1.601250860690135,-0.09336496675988526,-0.012777013132630076,2.2346178026473167,False,
zero_action,0,12,0.0,0.0,0.9992725889504047,0.666392967464545,1.5976774839603933,1.6011230905588087,-0.09172015936801961,-0.013534564343496522,2.0836987554606976,False,
zero_action,0,13,0.0,0.0,0.9992991130108144,0.666402409731651,1.596760282366713,1.6009877449153738,-0.09017808452558199,-0.014201222582122542,1.953625376827182,False,
zero_action,0,14,0.0,0.0,0.9993249295956484,0.6664115035705821,1.5958585015214573,1.6008457326895524,-0.08872714789161011,-0.014782257161420764,1.8403568039660103,False,
zero_action,0,15,0.0,0.0,0.9993500522719253,0.6664202607411014,1.5949712300425412,1.6006979101179382,-0.08735860971710235,-0.015282524770624315,1.7408334828079597,False,
zero_action,0,16,0.0,0.0,0.9993744934818366,0.6664286916405129,1.5940976439453702,1.6005450848702318,-0.08606572826034421,-0.015706528703726127,1.6526962552166988,False,
zero_action,0,17,0.0,0.0,0.9993982650139924,0.66643680558883,1.5932369866627667,1.6003880195831945,-0.08484317085602193,-0.016058463160576398,1.5740967415461686,False,
