gain_index,kp_angle,kd_angle,kp_cart,kd_cart,seed,episodes,final_hold,success_rate,drop_rate,cart_hit_rate,action_saturation,max_abs_cart_x,angular_speed_near_target,brief_target_contact_rate,sustained_hold_rate,drop_after_contact_rate,mean_abs_action,reward_mean,episode_length_mean
0,0.5,0.05,0.05,0.02,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.07127102628102466,0.7155006189364418,1.0,1.0,0.3333333333333333,0.005714098920152069,29.91915897413502,200.0
0,0.5,0.05,0.05,0.02,1,3,0.0,0.0,0.3333333333333333,0.0,0.0,0.10747230775168047,0.8719826990597431,1.0,1.0,0.3333333333333333,0.006786339968494204,-6.590157445256025,200.0
0,0.5,0.05,0.05,0.02,2,3,0.3416666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.05179896336257667,0.5642230225966667,1.0,1.0,0.3333333333333333,0.0038593437889912125,32.3261906417595,200.0
0,0.5,0.05,0.05,0.02,3,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.09998728739711756,0.6676706650941332,1.0,1.0,0.6666666666666666,0.007087393984843674,-3.876680991542789,200.0
0,0.5,0.05,0.05,0.02,4,3,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.08378989514211617,0.5037202683328129,1.0,1.0,0.0,0.0049672649280973315,100.81928180741642,200.0
0,0.5,0.05,0.05,0.02,5,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.05367400631634411,0.6255514420272381,1.0,1.0,0.3333333333333333,0.0037435971554402835,65.0199186461167,200.0
0,0.5,0.05,0.05,0.02,6,3,0.39166666666666666,0.0,0.0,0.0,0.0,0.1593843241833236,0.6982092829908878,1.0,1.0,0.0,0.00790153986583852,31.354997116236433,200.0
0,0.5,0.05,0.05,0.02,7,3,0.3416666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.1110948228413164,0.638941547252772,1.0,1.0,0.3333333333333333,0.007106073955081969,31.17787154120076,200.0
0,0.5,0.05,0.05,0.02,8,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.22539120824547335,0.6628194577127964,1.0,1.0,0.6666666666666666,0.012120730066387623,-4.128380015634666,200.0
0,0.5,0.05,0.05,0.02,9,3,0.7250000000000001,0.3333333333333333,0.0,0.0,0.0,0.17161063788609754,0.5805777425512315,1.0,1.0,0.0,0.009462740373636867,66.84181205778741,200.0
1,0.5,0.05,0.05,0.05,0,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.07127338093894135,0.7125545135072878,1.0,1.0,0.6666666666666666,0.005604022250900534,-3.3895473582081763,200.0
