episode_reward,episode_length,final_hold,success,peak_target_score,brief_target_contact,sustained_hold,drop_after_contact,capture_drop,cart_hit,action_saturation,action_abs_mean,max_abs_cart_x,angular_speed_near_target,termination_reason,policy,seed,episode
138.71365436203234,200,1.0,1.0,0.9998942069295367,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0034248271789456422,0.20810407192754618,max_steps,zero_action,1,10
138.8578285503773,200,1.0,1.0,0.9998776939181737,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004854710809480355,0.19300673086390976,max_steps,zero_action,1,11
137.51938118737414,200,1.0,1.0,0.9999999155506394,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008282335180663963,0.3105283387675782,max_steps,zero_action,1,12
32.8295185466594,200,0.525,0.0,0.9999998795586739,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008226031988000641,0.6261641589245542,max_steps,zero_action,1,13
-71.97726778595995,200,0.0,0.0,0.9999955739052357,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.007626450737930138,0.7785050486890548,max_steps,zero_action,1,14
34.14285093921856,200,0.825,1.0,0.9999850136754804,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.005588796358078361,0.5515121471743023,max_steps,zero_action,1,15
31.194304733530615,200,0.0,0.0,0.9991727662832133,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.011186093470677921,0.5421781908789014,max_steps,zero_action,1,16
135.37452704857094,200,1.0,1.0,0.9999997919790902,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.006076376680162792,0.4650235343951411,max_steps,zero_action,1,17
34.24011688468549,200,0.825,1.0,0.9999998716519052,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008207952672115935,0.5330992808253678,max_steps,zero_action,1,18
34.86785600856041,200,0.475,0.0,0.9993910380489338,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.011171880012131971,0.45609064175806036,max_steps,zero_action,1,19
