policy,seed,episodes,final_hold,success_rate,drop_rate,cart_hit_rate,action_saturation,max_abs_cart_x,angular_speed_near_target,brief_target_contact_rate,sustained_hold_rate,drop_after_contact_rate,reward_mean,episode_length_mean
small_random,5,20,0.27,0.25,0.4,0.0,0.0,0.054981001054936904,0.6402804503743409,1.0,1.0,0.4,14.934878673539732,200.0
small_random,6,20,0.28625,0.15,0.3,0.0,0.0,0.04886027118987358,0.6586714332647629,1.0,1.0,0.3,5.456061585136698,200.0
small_random,7,20,0.26375000000000004,0.2,0.3,0.0,0.0,0.05563326327580113,0.647696475413766,1.0,1.0,0.3,14.934412053888167,200.0
small_random,8,20,0.3925,0.25,0.4,0.0,0.0,0.04678371747074349,0.6380659816506189,1.0,1.0,0.4,15.46358036651248,200.0
small_random,9,20,0.28875,0.25,0.4,0.0,0.0,0.04522091632989431,0.6868018635221593,1.0,1.0,0.4,9.160524895958309,200.0
zero_action,0,20,0.47874999999999995,0.45,0.35,0.0,0.0,0.007003156653310567,0.545331490749424,1.0,1.0,0.35,37.31972817018405,200.0
zero_action,1,20,0.45375,0.4,0.2,0.0,0.0,0.007619364560461786,0.5588558407051479,1.0,1.0,0.2,37.83016746283606,200.0
zero_action,2,20,0.18875,0.15,0.3,0.0,0.0,0.007936685801286432,0.6271936703714168,1.0,1.0,0.3,15.476124038298343,200.0
zero_action,3,20,0.19,0.1,0.5,0.0,0.0,0.008521064266265435,0.7024301849027871,1.0,1.0,0.5,-10.916028256320823,200.0
zero_action,4,20,0.43000000000000005,0.35,0.1,0.0,0.0,0.006924299506908632,0.4895373703552844,1.0,1.0,0.1,53.74333500679012,200.0
zero_action,5,20,0.255,0.2,0.3,0.0,0.0,0.008655036528949344,0.6311885438471062,1.0,1.0,0.3,16.0105435815303,200.0
zero_action,6,20,0.37499999999999994,0.15,0.2,0.0,0.0,0.0077550981710736554,0.5544810819892922,1.0,1.0,0.2,27.541443130576177,200.0
zero_action,7,20,0.20375000000000001,0.2,0.35,0.0,0.0,0.008534947653252752,0.6536240314260292,1.0,1.0,0.35,4.821679698787667,200.0
zero_action,8,20,0.36125,0.35,0.35,0.0,0.0,0.0071222363798138025,0.58977253806587,1.0,1.0,0.35,26.484167173474322,200.0
zero_action,9,20,0.34875,0.25,0.35,0.0,0.0,0.0077083572931547495,0.6344444472794397,1.0,1.0,0.35,5.548681167154298,200.0
